set	set_label	status	tier	tool	tool_label	metric	n	n_clusters	true_value_constant	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	signed_bias_pred_minus_true	bias_ci_lo	bias_ci_hi	r2_coefficient_of_determination	r2_coefficient_of_determination_ci_lo	r2_coefficient_of_determination_ci_hi	pearson_r_squared_NOT_R2	r2_omitted_reason
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	cocopye	CoCoPyE 0.5.0	contamination	5000	4386	False	20.260993779402792	19.62974559011871	20.88668550226315	30.34627216954592	29.71177910245225	30.96240245111582	-19.24154036643781	-19.8854863048436	-18.589051769295214	0.102414142247392	0.0761358845391113	0.129663103074254	0.651201211146835	
POOLED_manuscript_5_sets	POOLED: set_A_v2, set_B_v2, set_C, set_D, set_E	pooled	pooled	deepcheck	DeepCheck	contamination	5000	4386	False	27.5739513515122	26.742015429736544	28.35087040304188	39.32820453188172	38.36802729327994	40.20616393008843	-24.738937569478068	-25.613766205940205	-23.864375170885	-0.5075563131362193	-0.5681960789073031	-0.4448431039794377	0.1842542781987913	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	1000	798	False	2.1766318366134065	1.9277441429974125	2.435865381542502	4.265459274526059	3.623068010271329	4.941846003477394	0.0922186901372748	-0.2202192928143469	0.3615054110643994	0.9368628041550612	0.9149649346821996	0.9546766052827128	0.9369097873360442	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	completeness	1000	798	False	2.5423106509718054	2.361873803762624	2.71386793577417	3.836799863069146	3.5632109711142346	4.102091013069212	1.2338306271372748	0.9958970961969392	1.4616723262918312	0.9489151665692774	0.9404746544506803	0.9563008200589308	0.954204221207798	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	completeness	1000	798	False	3.626543119935133	3.350095403405461	3.9256856641459863	5.476054680966631	5.02626563539997	5.92667511844745	1.5985225375141008	1.257584076014884	1.9337134904364863	0.8959387012077047	0.8779376295982056	0.9121925150110476	0.9085106847176116	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	completeness	1000	798	False	4.255472477276518	3.975215340154827	4.539029889031779	6.229719890580933	5.806058833692202	6.681775560255611	1.4648283920298533	1.094480196229916	1.8452645121778857	0.8653238386483895	0.8429478177442182	0.8846172390510949	0.8735672962805364	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	1000	798	True	0.8285294344272	0.6429887833268665	1.0594770411788443	3.01249322423102	1.805901322270498	4.082399324670734	0.8285294344272	0.6429887833268665	1.0594770411788443					R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	contamination	1000	798	True	0.27387	0.2495259185767873	0.29995225	0.4403654164441163	0.3986877218081268	0.4832202811971876	0.27387	0.2495259185767873	0.29995225					R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	contamination	1000	798	True	0.7744793874790756	0.612203505699262	0.9754128016180988	2.8670595482195016	2.2684247140695093	3.476486106458412	0.7744793874790756	0.612203505699262	0.9754128016180988					R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	contamination	1000	798	True	0.404035914644599	0.3717926938627589	0.4355011395700983	0.6315151025352045	0.5838906333722574	0.6730980550807207	0.2865536159723997	0.2492408271136763	0.3229230709306359					R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
