set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	medium	83	0.083	213	0.25821596244131456	0.2008333333333334	0.3198020304568528	0.6626506024096386	0.5616333519709253	0.7619196428571428	0.37162162162162166	0.3003412969283277	0.44373040594855306
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	high	34	0.034	39	0.28205128205128205	0.14285714285714285	0.4286679536679531	0.3235294117647059	0.16216216216216217	0.5	0.3013698630136986	0.15873015873015875	0.4348104793756966
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	low	883	0.883	195	0.9487179487179487	0.9154161013116238	0.9780249804839968	0.20951302378255945	0.18327605956471935	0.2358292639855039	0.3432282003710575	0.3063901625450911	0.3778852345180228
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	medium	83	0.083	766	0.08616187989556136	0.06711409395973154	0.10540364755114856	0.7951807228915663	0.7073008130081301	0.8765474378488077	0.15547703180212014	0.12244897959183675	0.1865771614161463
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	high	11	0.011	15	0.6666666666666666	0.4	0.9090909090909091	0.9090909090909091	0.7	1.0	0.7692307692307692	0.5383333333333336	0.9286904761904756
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	low	886	0.886	882	0.9897959183673469	0.9830503681263901	0.9955257270693513	0.9853273137697517	0.9772965852119796	0.9931584948688712	0.9875565610859729	0.9823762833946486	0.9926762624141019
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	1000	False	medium	103	0.103	103	0.8737864077669902	0.80806227411732	0.9375	0.8737864077669902	0.8074057084607544	0.9333333333333333	0.8737864077669902	0.8242407592407593	0.9198442925954968
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	high	11	0.011	12	0.5833333333333334	0.2857142857142857	0.857380952380951	0.6363636363636364	0.3333333333333333	1.0	0.6086956521739131	0.33306451612903265	0.8181818181818182
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	low	886	0.886	887	0.9887260428410372	0.9812558553180603	0.9954236021859294	0.989841986455982	0.9831256808192429	0.9955705658853545	0.9892836999435984	0.9843396063341274	0.9938306225462703
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	1000	False	medium	103	0.103	101	0.8811881188118812	0.8130695093457944	0.9423076923076923	0.8640776699029126	0.7924528301886793	0.9266221851542952	0.8725490196078431	0.8196622555796957	0.918918918918919
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	high	11	0.011	12	0.75	0.46153846153846156	1.0	0.8181818181818182	0.5714285714285714	1.0	0.7826086956521738	0.5454545454545455	0.9333333333333333
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	low	886	0.886	883	0.9920724801812004	0.9854419212208558	0.9977220956719818	0.9887133182844243	0.9815221060640972	0.9953547763388452	0.9903900508762012	0.9858035207268597	0.9944780648137321
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	1000	False	medium	103	0.103	105	0.8857142857142857	0.8235294117647058	0.9417615758028379	0.9029126213592233	0.8437432065217392	0.957280701754386	0.8942307692307693	0.848213117053104	0.9375
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	high	11	0.011	77	0.12987012987012986	0.05970149253731343	0.20621385466431968	0.9090909090909091	0.7	1.0	0.22727272727272727	0.1111111111111111	0.3396320754716981
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	low	886	0.886	415	0.9855421686746988	0.9726001712328767	0.9952721463936839	0.4616252821670429	0.4275824927672219	0.49430620548552345	0.6287471176018448	0.5963513725102392	0.6586311746595586
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	1000	1000	False	medium	103	0.103	508	0.15748031496062992	0.1271343228379378	0.1898245184880008	0.7766990291262136	0.690904404873477	0.853938436329588	0.26186579378068736	0.21666455160744502	0.30721050345582956
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	high	11	0.011	17	0.35294117647058826	0.13333333333333333	0.5911363636363625	0.5454545454545454	0.2222222222222222	0.8571428571428571	0.42857142857142855	0.17391304347826086	0.6451612903225806
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	low	886	0.886	853	0.9894490035169988	0.9822042848841401	0.9953434225844005	0.9525959367945824	0.9380731362096041	0.9658703071672355	0.9706728004600346	0.9620097963300627	0.9784109247915165
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	1000	1000	False	medium	103	0.103	130	0.6538461538461539	0.5658835303088068	0.7388232158535055	0.8252427184466019	0.7499507874015748	0.8942307692307693	0.7296137339055794	0.6601867823172836	0.7903319579894974
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	high	11	0.011	131	0.04580152671755725	0.014705882352941176	0.08475477821853583	0.5454545454545454	0.2222222222222222	0.8571428571428571	0.08450704225352114	0.02758148323098725	0.15172413793103448
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	low	886	0.886	183	0.9672131147540983	0.9387698095998176	0.9897448979591837	0.19977426636568849	0.17357222844344905	0.2267599929362264	0.33115060804490176	0.29406074704167634	0.36743492613236645
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	1000	1000	False	medium	103	0.103	686	0.1151603498542274	0.0926173402164287	0.13947993570022532	0.7669902912621359	0.6770833333333334	0.8488372093023255	0.20025348542458807	0.16427545179032438	0.2385852626551468
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	785	True	high	66	0.066	63	0.8412698412698413	0.7460250201775626	0.9272727272727272	0.803030303030303	0.7049180327868853	0.896564401622718	0.8217054263565892	0.7460084033613444	0.8889269406392692
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	785	True	low	719	0.719	709	0.9873060648801129	0.9782885736202384	0.9945058708414873	0.9735744089012517	0.9615371389270977	0.984263982203447	0.9803921568627452	0.9731527760829775	0.9870307167235496
