set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	8.058032512078764	7.44201446983097	8.688514471969317	12.699537881718122	11.708482867558972	13.678377507645914	-6.110872341779231	-6.817324544517755	-5.446952841868123	0.8070824871249205	0.7775539873190708	0.8339914698131659	0.861877996330619	0.8388818381595133	0.883734915059158	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	7.767309504960628	7.183006349756484	8.372206233426388	12.30066608111831	11.315357390145275	13.285094382230092	-5.647974842709231	-6.358897210039412	-4.977787621723841	0.819010626474047	0.790403370597106	0.8443869923032361	0.8674722898610595	0.844590303832044	0.8894331105646889	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	5.395286582067334	4.997970235469228	5.815543673603113	8.46584731313864	7.706585618583357	9.225116502125434	-2.7831841948292313	-3.2701269454753694	-2.310555016210899	0.9142692384893858	0.8975572975335306	0.9286852580881185	0.9240970010954801	0.9091223859566222	0.9371397537503773	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	checkm2	CheckM2 1.0.1	competitor	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	36.92437572675197	35.368920771882536	38.40981708251762	44.019547641943724	42.54035054556728	45.35440397340211	-36.91583004270923	-38.398852377544664	-35.35242484489822	-1.3178587635729246	-1.4944882199428737	-1.1557522469174586	0.3656455075242421	0.32523506478272474	0.4098650393024564	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	25.725642739647746	24.362917252002678	27.144049114242115	33.76579587394998	32.41660947428098	35.114117808092296	-25.05743115041149	-26.518702947665716	-23.673537066334703	-0.3637972170380237	-0.47415849676968436	-0.2717286286657834	0.5641810155933776	0.5228302638180427	0.6037678695306435	
set_D	Set D (Archaea) - SUPERSEDED (training leakage)	superseded_leaky	reported	deepcheck	DeepCheck	competitor	contamination	1000	1000	835.9959653514017	False	0.0	99.42906209988202	41.7739802882366	40.1250488360716	43.45664691395225	49.5278301870206	47.77628854959158	51.4011807542226	-40.96603391532552	-42.712247234653454	-39.150144987548295	-1.934231820129963	-2.1918967313308957	-1.7228569729619427	0.10646531604958706	0.07731379080406163	0.2197761354981211	
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	5.485888223766055	5.0367441372509445	5.950119756012367	8.904759997143103	8.172760741383275	9.611047576146273	1.127684293070554	0.5537020946844313	1.6813018085730906	0.7069266729196131	0.6615295506413954	0.7519682445340964	0.7119267535335532	0.667660181445343	0.7569855564715777	
set_E	Set E (realistic mixture)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	5.710083053087339	5.276492823189539	6.172687579718153	9.097083660885799	8.393551283137988	9.778467003415766	1.6480031550705538	1.0650364228453975	2.2018126231902446	0.6941304568009974	0.6479045390830909	0.7383655625503072	0.704327752848486	0.6607631829413083	0.7476248190336909	
set_E	Set E (realistic mixture)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	3.9189580399442416	3.575864952432357	4.2728938397662315	6.917160076476636	6.252264038705235	7.610371737521806	0.40007786307055393	-0.03784522930585139	0.8351351452801768	0.8231571483165315	0.784679487946681	0.8564860115778	0.8240555763171287	0.7865163571293705	0.8573479124308026	
set_E	Set E (realistic mixture)	current	primary	checkm2	CheckM2 1.0.1	competitor	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	9.139516691419486	8.481942023872813	9.800010382216392	14.25410450210185	13.466364061856297	15.041223906358267	8.320045555070553	7.625802538022998	9.037720005133385	0.24904876824113387	0.1650550214269032	0.32660929627135826	0.5130522902451764	0.47134760347966725	0.5528670663049832	
set_E	Set E (realistic mixture)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	5.02163443783527	4.670609441986153	5.368668360852393	7.33432555291544	6.836217607775637	7.819878588863327	1.5641107821664624	1.096133394114119	2.0119898151948234	0.801183591730749	0.7738328648846236	0.8257851352457302	0.8230742868693847	0.7950346009573949	0.8483004618497136	
set_E	Set E (realistic mixture)	current	primary	deepcheck	DeepCheck	competitor	completeness	1000	785	270.5628362589624	False	50.22356510628079	100.0	11.694699721773006	10.9850682577197	12.410356912505847	16.372217035938913	15.505536085257395	17.211158851321024	10.206720020555172	9.412870923260977	10.996747689289693	0.009289323034256003	-0.09764646910737469	0.1084784711064502	0.48085454091112156	0.44080048295286106	0.522980410510644	
set_E	Set E (realistic mixture)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	785	1084.7911044824548	False	0.0	99.9183593161858	5.657874715238257	5.192880971229834	6.146184773430357	9.701062069830678	8.891643311156544	10.547503350863249	-3.118245101980753	-3.682026824361342	-2.535799121585367	0.9132454120486111	0.8980125705945339	0.9268166525633971	0.9265464350744782	0.9129299098318066	0.9387353373305403	
set_E	Set E (realistic mixture)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	785	1084.7911044824548	False	0.0	99.9183593161858	5.875723997012404	5.420852350367328	6.366809722781505	9.807394068004852	9.00108169199674	10.632937664245535	-2.108939377777253	-2.6977167866882477	-1.5168207864705523	0.9113331792566405	0.8962809026634401	0.9244579098859012	0.9184873012123951	0.9041989165020282	0.9315566362572157	
