tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
checkm2	uneven_coverage	0.05	5.0	contamination	80	0.6006	-0.263	1.4476	0.605	-0.3002	1.5302	4.1237	3.6445	4.6064	0.1855776932625287	0.27988766852709246
checkm2	uneven_coverage	0.1	10.0	completeness	80	0.0077	-0.385	0.4385	-0.12	-0.3256	0.055	-0.0012	-0.4654	0.4829	0.21508072526324118	0.316598827587491
checkm2	uneven_coverage	0.1	10.0	contamination	80	2.5282	1.1287	3.946	2.745	1.2499	4.5298	8.1291	7.5164	8.8287	0.0006724610176359662	0.0017676118177859684
checkm2	uneven_coverage	0.2	20.0	completeness	80	0.0885	-0.4593	0.6474	0.115	-0.2258	0.5201	-0.5862	-1.3245	0.0988	0.5218677979452486	0.6155363770636266
checkm2	uneven_coverage	0.2	20.0	contamination	80	7.6881	5.4894	9.8724	8.7209	6.0874	11.1001	14.5685	13.4925	15.6902	8.110065028494819e-08	3.3161154783178814e-07
checkm2	uneven_coverage	0.4	40.0	completeness	80	0.4122	-0.4374	1.2525	0.1949	-0.3501	0.795	-1.1698	-2.214	-0.2272	0.4283089713582071	0.5435093153786904
checkm2	uneven_coverage	0.4	40.0	contamination	80	18.4979	15.6823	21.3617	19.2572	16.4341	21.9142	26.2769	24.6311	27.9368	2.5865340117032173e-13	2.266296467397105e-12
cocopye	substitution	0.001	0.1	completeness	80	-0.1338	-0.295	0.0087	-0.0104	-0.1337	0.0752	-0.0125	-0.1843	0.1572	0.5939568273174582	0.6744236235170089
cocopye	substitution	0.001	0.1	contamination	80	0.4317	0.1504	0.71	0.4404	0.1218	0.7494	1.1143	0.8673	1.3507	0.006858349954434611	0.01617867168738421
cocopye	substitution	0.005	0.5	completeness	80	0.2027	-0.0809	0.4599	0.2109	-0.0524	0.4425	-0.2077	-0.4862	0.0849	0.11910123589814578	0.19223357373034056
