accession	n_sets	n_samples
RS_GCF_003971445.1	1	1
RS_GCF_003990725.2	1	10
RS_GCF_003991175.1	1	3
RS_GCF_003999255.1	1	3
RS_GCF_003999795.1	3	5
RS_GCF_004009355.1	3	4
RS_GCF_004014855.1	3	5
RS_GCF_004015245.1	2	5
RS_GCF_004104435.1	1	2
RS_GCF_004117015.1	1	2
RS_GCF_004135365.1	1	2
RS_GCF_004136395.1	2	4
RS_GCF_004194635.3	1	1
RS_GCF_004332015.1	1	2
RS_GCF_004353465.2	2	2
RS_GCF_004355605.1	1	2
RS_GCF_004358445.1	1	1
RS_GCF_004634685.1	1	2
RS_GCF_004635925.1	3	3
RS_GCF_004637125.1	2	2
RS_GCF_004771435.1	2	2
RS_GCF_004843725.1	2	2
RS_GCF_004919385.1	2	2
RS_GCF_004944975.1	1	10
RS_GCF_005014055.1	1	1
RS_GCF_005080865.1	1	1
RS_GCF_005221685.1	1	1
RS_GCF_005221965.1	1	1
RS_GCF_005222145.1	1	1
RS_GCF_005484945.1	2	2
RS_GCF_005577135.1	2	3
RS_GCF_005577315.1	1	1
RS_GCF_005707215.1	1	1
RS_GCF_005849435.1	1	1
RS_GCF_006094335.1	3	4
RS_GCF_006094375.1	1	1
RS_GCF_006352025.1	1	1
RS_GCF_006401635.1	2	2
RS_GCF_006459125.1	1	1
RS_GCF_006970285.1	2	2
RS_GCF_007005625.1	2	2
RS_GCF_007035805.1	1	1
RS_GCF_007182855.1	1	1
RS_GCF_007289895.1	3	3
RS_GCF_007290395.2	1	1
RS_GCF_007362475.1	1	2
RS_GCF_007559005.1	1	1
RS_GCF_007748155.1	1	1
RS_GCF_007752345.1	3	4
RS_GCF_007844035.1	3	3
RS_GCF_007904085.1	2	3
RS_GCF_008000875.1	3	4
RS_GCF_008027775.1	1	1
RS_GCF_008271385.1	1	2
RS_GCF_008329645.1	1	1
RS_GCF_008330825.1	1	1
RS_GCF_008620175.1	2	3
RS_GCF_008642335.1	3	6
RS_GCF_008693785.1	3	3
RS_GCF_008728435.1	1	2
RS_GCF_008807855.1	3	3
RS_GCF_008831505.1	2	3
RS_GCF_009184845.1	1	1
RS_GCF_009193325.2	2	5
RS_GCF_009296005.1	2	3
RS_GCF_009362935.1	2	3
RS_GCF_009428965.1	1	1
RS_GCF_009497795.1	2	3
RS_GCF_009626015.1	3	4
RS_GCF_009627435.1	2	3
RS_GCF_009648935.1	1	1
RS_GCF_009650115.1	2	2
RS_GCF_009665315.1	1	1
RS_GCF_009685175.1	1	2
RS_GCF_009709035.1	1	3
RS_GCF_009709055.1	3	3
RS_GCF_009730095.1	1	1
RS_GCF_009734185.1	1	1
RS_GCF_009739885.1	2	2
RS_GCF_009762745.1	3	4
RS_GCF_009763965.1	2	4
RS_GCF_009800165.1	1	2
RS_GCF_009806695.1	2	2
RS_GCF_009831395.1	2	4
RS_GCF_009867075.1	2	2
RS_GCF_009884095.1	1	1
RS_GCF_009884275.1	1	1
RS_GCF_009884355.1	1	1
RS_GCF_009905215.1	1	1
RS_GCF_009912715.1	1	1
RS_GCF_009914355.1	2	11
RS_GCF_009931175.1	1	1
RS_GCF_009931315.1	1	1
RS_GCF_009931415.1	1	1
RS_GCF_009931455.1	2	4
RS_GCF_009933595.1	3	3
RS_GCF_009936255.1	2	2
RS_GCF_009938095.1	2	3
RS_GCF_009939665.1	2	3
RS_GCF_010092985.1	2	3
RS_GCF_010119915.1	2	2
RS_GCF_010230725.1	1	1
RS_GCF_010231195.1	2	4
RS_GCF_010587025.1	1	1
RS_GCF_010728155.1	1	1
RS_GCF_010977555.1	1	1
RS_GCF_011038575.1	1	1
RS_GCF_011038885.2	1	1
RS_GCF_011044275.1	2	2
RS_GCF_011045475.1	1	1
RS_GCF_011065385.1	2	3
RS_GCF_011082485.1	2	2
RS_GCF_011299335.1	3	3
RS_GCF_011306595.1	2	4
RS_GCF_011399095.1	1	1
RS_GCF_011404355.1	1	2
RS_GCF_011404895.1	1	1
RS_GCF_011456295.1	1	1
RS_GCF_011457615.1	1	1
RS_GCF_011462915.1	1	1
