set	set_label	tool	tool_label	criterion	threshold	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi
set_E	Set E (realistic mixture)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	50.0	1000	785	1000	0	0	0				0.0	0.0	0.0				1.0	1.0	1.0	1.0	1.0	1.0
set_E	Set E (realistic mixture)	checkm2	CheckM2 1.0.1	completeness	50.0	1000	785	1000	0	0	5				0.005	0.001002004008016	0.0100608692477445				0.995	0.9899391307522556	0.998997995991984	0.995	0.9899391307522556	0.998997995991984
set_E	Set E (realistic mixture)	cocopye	CoCoPyE 0.5.0	completeness	50.0	1000	785	1000	0	0	11				0.011	0.0050251256281407	0.0178407749735481				0.989	0.9821592250264518	0.9949748743718592	0.989	0.9821592250264518	0.9949748743718592
set_E	Set E (realistic mixture)	deepcheck	DeepCheck	completeness	50.0	1000	785	1000	0	0	6				0.006	0.0019588638589618	0.0118811881188118				0.994	0.988118811881188	0.9980411361410382	0.994	0.988118811881188	0.9980411361410382
set_E	Set E (realistic mixture)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	90.0	1000	785	352	648	49	62	0.0756172839506172	0.0547494236670924	0.0971179211152468	0.1761363636363636	0.1306788676827623	0.219375	0.9243827160493828	0.9028820788847532	0.9452505763329074	0.8238636363636364	0.780625	0.8693211323172376	0.8741231762065096	0.8496627376331104	0.8994106672066234
set_E	Set E (realistic mixture)	checkm2	CheckM2 1.0.1	completeness	90.0	1000	785	352	648	243	11	0.375	0.3373295679111843	0.4127750920641441	0.03125	0.0144081867567657	0.0480268531754135	0.625	0.5872249079358559	0.6626704320888157	0.96875	0.9519731468245866	0.9855918132432344	0.796875	0.7767081030682972	0.8170675143977858
set_E	Set E (realistic mixture)	cocopye	CoCoPyE 0.5.0	completeness	90.0	1000	785	352	648	93	20	0.1435185185185185	0.1163522012578616	0.1706199416697047	0.0568181818181818	0.034881193124368	0.0828406593406593	0.8564814814814815	0.8293800583302953	0.8836477987421384	0.9431818181818182	0.9171593406593408	0.965118806875632	0.8998316498316499	0.880894337649613	0.9178554083132344
set_E	Set E (realistic mixture)	deepcheck	DeepCheck	completeness	90.0	1000	785	352	648	231	17	0.3564814814814814	0.3186102376179216	0.393764928666391	0.0482954545454545	0.0268616856370964	0.0710231153750621	0.6435185185185185	0.6062350713336089	0.6813897623820784	0.9517045454545454	0.928976884624938	0.9731383143629035	0.797611531986532	0.7760512777381432	0.819229276415148
set_E	Set E (realistic mixture)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5.0	1000	785	252	748	14	9	0.0187165775401069	0.0101920351473923	0.0283793384047105	0.0357142857142857	0.0150929209816995	0.0614803748104282	0.9812834224598932	0.9716206615952896	0.9898079648526076	0.9642857142857144	0.9385196251895718	0.9849070790183004	0.9727845683728036	0.9596879295455502	0.9843826769596123
set_E	Set E (realistic mixture)	checkm2	CheckM2 1.0.1	contamination	5.0	1000	785	252	748	57	5	0.0762032085561497	0.057406057610769	0.0969066938052055	0.0198412698412698	0.0040160642570281	0.0396832559738696	0.9237967914438504	0.9030933061947944	0.9425939423892308	0.98015873015873	0.9603167440261304	0.9959839357429718	0.9519777608012904	0.938495456969266	0.9647039984693044
set_E	Set E (realistic mixture)	cocopye	CoCoPyE 0.5.0	contamination	5.0	1000	785	252	748	11	15	0.0147058823529411	0.0066664447403462	0.0241935483870967	0.0595238095238095	0.0327853949329359	0.0916038137526231	0.9852941176470588	0.9758064516129032	0.9933335552596536	0.9404761904761904	0.9083961862473768	0.967214605067064	0.9628851540616248	0.946264761193607	0.97694150631226
set_E	Set E (realistic mixture)	deepcheck	DeepCheck	contamination	5.0	1000	785	252	748	104	1	0.1390374331550802	0.1140939597315436	0.1642001729163138	0.0039682539682539	0.0	0.0128755364806866	0.8609625668449198	0.8357998270836862	0.8859060402684564	0.996031746031746	0.9871244635193132	1.0	0.9284971564383327	0.915181559820905	0.9416152347000448
set_E	Set E (realistic mixture)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	10.0	1000	785	281	719	19	9	0.0264255910987482	0.015736017796553	0.0384628610729023	0.0320284697508896	0.0137919184737528	0.0551521461905795	0.9735744089012516	0.9615371389270976	0.984263982203447	0.9679715302491104	0.9448478538094204	0.9862080815262472	0.970772969575181	0.9584029107058902	0.9817422046478484
set_E	Set E (realistic mixture)	checkm2	CheckM2 1.0.1	contamination	10.0	1000	785	281	719	110	1	0.1529902642559109	0.1260387811634349	0.1813065493239584	0.0035587188612099	0.0	0.0115830115830115	0.847009735744089	0.8186934506760416	0.8739612188365651	0.99644128113879	0.9884169884169884	1.0	0.9217255084414396	0.9067502537987264	0.9356000879884544
set_E	Set E (realistic mixture)	cocopye	CoCoPyE 0.5.0	contamination	10.0	1000	785	281	719	22	14	0.0305980528511821	0.0187136130300735	0.0437871691941718	0.0498220640569395	0.0242214532871972	0.0772268446622689	0.9694019471488178	0.9562128308058282	0.9812863869699264	0.9501779359430604	0.9227731553377312	0.9757785467128028	0.9597899415459392	0.9441746148861296	0.973535852455444
set_E	Set E (realistic mixture)	deepcheck	DeepCheck	contamination	10.0	1000	785	281	719	230	0	0.3198887343532684	0.286107014395104	0.3547619184464828	0.0	0.0	0.0	0.6801112656467315	0.645238081553517	0.7138929856048959	1.0	1.0	1.0	0.8400556328233657	0.8226190407767585	0.856946492802448
