accession	bytes	status
GCA_051027645.1	1367612	ok
GCA_052927865.1	930488	ok
GCA_014527315.1	855464	ok
GCA_041222735.1	860803	ok
GCA_014527425.1	844953	ok
GCA_024721565.1	851306	ok
GCA_014527485.1	828727	ok
GCA_024721545.1	834356	ok
GCA_014787185.1	1659469	ok
GCA_030007975.1	1671917	ok
GCA_014856685.1	748025	ok
GCA_055765245.1	763159	ok
GCA_014856735.1	747167	ok
GCA_055764455.1	789093	ok
GCA_014856745.1	748745	ok
GCA_055763705.1	763462	ok
GCA_014856785.1	747046	ok
GCA_014856935.1	760372	ok
GCA_048564875.1	790003	ok
GCA_055764445.1	763256	ok
GCA_015831885.1	506217	cached
GCA_016350125.1	503521	cached
GCA_015245535.1	1506176	ok
GCA_015245165.1	455455	ok
GCA_015846175.1	900754	ok
GCA_015831895.1	454706	ok
GCA_052927925.1	878979	ok
GCA_015893805.1	1592132	cached
GCA_051131725.1	1547801	cached
GCA_042692095.1	1513049	ok
GCA_015912925.1	2420849	cached
GCA_015439705.1	903559	ok
GCA_015708605.1	2430803	cached
GCA_052927185.1	873561	ok
GCA_015930005.1	1605463	ok
GCA_016497965.1	1202886	ok
GCA_030007795.1	1543873	ok
GCA_015930065.1	1621707	ok
GCA_030007575.1	1549427	ok
GCA_029814355.1	1195808	ok
GCA_029581555.1	1162164	ok
GCA_016497985.1	1176355	ok
GCA_016942475.1	1553458	ok
GCA_016785505.1	1474259	ok
GCA_016942535.1	1490746	ok
GCA_016785485.1	1530915	ok
GCA_016785525.1	1466960	ok
GCA_016942595.1	1390046	ok
GCA_016785555.1	1728663	ok
GCA_016785585.1	1503774	ok
GCA_016942575.1	1522179	ok
GCA_016942635.1	1512865	ok
GCA_016942655.1	1493254	ok
GCA_016785625.1	1496093	ok
GCA_016785705.1	1421038	ok
GCA_016944655.1	1414489	ok
GCA_016786025.1	1498384	ok
GCA_016942505.1	1511337	ok
GCA_016944715.1	1520003	ok
GCA_016786035.1	1513639	ok
GCA_016786075.1	1691392	ok
GCA_016772495.1	1490160	ok
GCA_016944675.1	1716017	ok
GCA_016786125.1	1463964	ok
GCA_016944775.1	1468587	ok
GCA_016786145.1	1468783	ok
GCA_016944735.1	1477166	ok
GCA_016786085.1	1639449	ok
GCA_016786155.1	1581370	ok
GCA_016944755.1	1565197	ok
GCA_016791785.1	1668818	ok
GCA_016942615.1	1480196	ok
GCA_016791825.1	1459637	ok
GCA_016944635.1	1471363	ok
GCA_016792035.1	1397410	ok
GCA_016944695.1	1408422	ok
GCA_016815315.1	1468224	ok
GCA_020906335.1	1376258	ok
GCA_020906315.1	1401011	ok
GCA_016815355.1	1471833	ok
GCA_016815325.1	1473692	ok
GCA_020906355.1	1399637	ok
GCA_020906375.1	1463964	ok
GCA_016815385.1	1468275	ok
GCA_016815425.1	1459013	ok
GCA_020906395.1	1450411	ok
GCA_016815525.1	1470846	ok
GCA_020905675.1	1468647	ok
GCA_016815675.1	1467735	ok
GCA_020905715.1	1366242	ok
GCA_016815635.1	1470365	ok
GCA_020905695.1	1349528	ok
GCA_016815715.1	1450037	ok
GCA_020905735.1	1451029	ok
GCA_020905755.1	1399908	ok
GCA_020906415.1	1466053	ok
GCA_016815955.1	1472126	ok
GCA_016815795.1	1470463	ok
GCA_016816035.1	1470005	ok
GCA_020906435.1	1401448	ok
GCA_016816095.1	1447479	ok
GCA_020906455.1	1437659	ok
GCA_016816135.1	1472803	ok
GCA_020906495.1	1465792	ok
GCA_016816275.1	1467792	ok
GCA_020906475.1	1480757	ok
GCA_016816325.1	1484199	ok
GCA_020905875.1	1436223	ok
GCA_016816555.1	1467766	ok
GCA_020905895.1	1461969	ok
GCA_016816635.1	1466828	ok
GCA_020905915.1	1460609	ok
GCA_016816645.1	1471558	ok
GCA_020905815.1	1469433	ok
GCA_016816675.1	1433537	ok
GCA_020905775.1	1433617	ok
GCA_016816695.1	1470483	ok
GCA_020905795.1	1466263	ok
GCA_016816715.1	1470569	ok
GCA_020905855.1	1466007	ok
GCA_016816725.1	1431165	ok
GCA_020905835.1	1423003	ok
GCA_016816795.1	1470527	ok
GCA_020905935.1	1400430	ok
GCA_016816815.1	1471084	ok
GCA_020905975.1	1366175	ok
GCA_016816835.1	1471738	ok
GCA_020905955.1	1423453	ok
GCA_016816875.1	1471073	ok
GCA_020906015.1	1436446	ok
GCA_016816885.1	1453025	ok
GCA_020905995.1	1439793	ok
GCA_020906035.1	1466321	ok
GCA_016816915.1	1471927	ok
GCA_020906075.1	1337352	ok
GCA_016816945.1	1471547	ok
GCA_020906055.1	1480509	ok
GCA_016816975.1	1471798	ok
GCA_016816995.1	1470173	ok
GCA_020906115.1	1399732	ok
GCA_020906135.1	1423708	ok
GCA_016817005.1	1472211	ok
GCA_020906095.1	1388055	ok
GCA_016817015.1	1470722	ok
GCA_016817055.1	1471552	ok
GCA_020906195.1	1464066	ok
GCA_016817065.1	1471025	ok
GCA_020906235.1	1458109	ok
GCA_016817095.1	1469699	ok
GCA_020906155.1	1446244	ok
GCA_016817115.1	1474352	ok
GCA_020906215.1	1401869	ok
GCA_016817135.1	1470878	ok
GCA_020906175.1	1353484	ok
GCA_016817155.1	1470904	ok
GCA_020906255.1	1440447	ok
GCA_016817175.1	1471839	ok
GCA_020906295.1	1401779	ok
GCA_016946875.1	877004	ok
GCA_052926905.1	871528	ok
GCA_017373955.1	934142	ok
GCA_052927165.1	885305	ok
GCA_017374615.1	884599	ok
GCA_052927745.1	873963	ok
GCA_018012715.1	900054	ok
GCA_052927565.1	896409	ok
GCA_018012755.1	927617	ok
GCA_052927665.1	910776	ok
GCA_018132005.1	897597	ok
GCA_052927985.1	891951	ok
GCA_018280725.1	1463602	ok
GCA_040256175.1	1400317	ok
GCA_052927945.1	869031	ok
GCA_018286795.1	897262	ok
GCA_018535305.1	919472	ok
GCA_052927145.1	896800	ok
GCA_018838855.1	965077	ok
GCA_052927065.1	913803	ok
GCA_052927965.1	870011	ok
GCA_018934055.1	904976	ok
GCA_018958155.1	904432	ok
GCA_052926935.1	899599	ok
GCA_018963355.1	895807	ok
GCA_052927585.1	896430	ok
GCA_019025045.1	849494	ok
GCA_019131715.1	1570477	cached
GCA_019024925.1	882146	ok
GCA_052927385.1	875762	ok
GCA_036419465.1	1599574	cached
