cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	phylum	Micrarchaeota	442	contamination_MAGICC_minus_CheckM2	1.6810	-0.0400	2.8653	5.5936	1.4938	9.0981
catalogue_weighted	family	phylum	Myxococcota	424	completeness_MAGICC_minus_CheckM2	5.7757	3.1252	7.1760	6.9994	4.1932	9.5374
catalogue_weighted	family	phylum	Myxococcota	424	contamination_MAGICC_minus_CheckM2	-0.4954	-0.8950	-0.0332	5.2201	3.3255	7.6628
catalogue_weighted	family	phylum	Myxococcota_A	502	completeness_MAGICC_minus_CheckM2	1.1984	-10.8435	5.7099	-0.7901	-10.1986	6.9377
catalogue_weighted	family	phylum	Myxococcota_A	502	contamination_MAGICC_minus_CheckM2	-0.2410	-1.7591	2.3199	6.2016	1.6617	10.3088
catalogue_weighted	family	phylum	Nanoarchaeota	1689	completeness_MAGICC_minus_CheckM2	-13.7563	-16.2916	-9.9351	-13.0590	-15.5544	-10.2297
catalogue_weighted	family	phylum	Nanoarchaeota	1689	contamination_MAGICC_minus_CheckM2	3.2197	1.4955	6.3010	8.4186	6.5398	11.5714
catalogue_weighted	family	phylum	Nitrospinota	289	completeness_MAGICC_minus_CheckM2	1.6511	-2.3818	3.3097	0.2427	-1.7933	6.0403
catalogue_weighted	family	phylum	Nitrospinota	289	contamination_MAGICC_minus_CheckM2	1.3732	-1.1781	1.5743	3.7119	-1.3722	4.0890
catalogue_weighted	family	phylum	Nitrospirota	241	completeness_MAGICC_minus_CheckM2	-5.1738	-11.9707	-1.5795	-6.4151	-9.7847	-3.7413
catalogue_weighted	family	phylum	Nitrospirota	241	contamination_MAGICC_minus_CheckM2	-0.9771	-1.4615	0.4649	0.2401	-1.2627	3.4611
catalogue_weighted	family	phylum	Omnitrophota	317	completeness_MAGICC_minus_CheckM2	-5.8888	-13.3931	-0.4939	-7.9125	-12.4654	-3.2748
catalogue_weighted	family	phylum	Omnitrophota	317	contamination_MAGICC_minus_CheckM2	0.3777	-0.1467	2.1184	6.2555	2.0107	12.3554
catalogue_weighted	family	phylum	Patescibacteria	20169	completeness_MAGICC_minus_CheckM2	-5.6223	-9.0829	-3.5268	-7.4208	-9.5320	-5.7994
catalogue_weighted	family	phylum	Patescibacteria	20169	contamination_MAGICC_minus_CheckM2	0.2167	0.0593	0.4942	2.1298	1.4146	3.0836
catalogue_weighted	family	phylum	Planctomycetota	1153	completeness_MAGICC_minus_CheckM2	3.1008	1.7110	4.9115	3.1098	1.5007	5.2782
catalogue_weighted	family	phylum	Planctomycetota	1153	contamination_MAGICC_minus_CheckM2	-0.8675	-1.1641	-0.4878	1.2218	0.1758	2.6950
catalogue_weighted	family	phylum	Proteobacteria	24149	completeness_MAGICC_minus_CheckM2	-0.1959	-0.6573	-0.0458	-0.9928	-2.0027	-0.3906
catalogue_weighted	family	phylum	Proteobacteria	24149	contamination_MAGICC_minus_CheckM2	-0.6195	-1.0051	-0.3898	-1.0020	-1.2533	-0.7679
catalogue_weighted	family	phylum	SAR324	735	completeness_MAGICC_minus_CheckM2	1.2248	-2.9227	4.4667	1.8502	-1.9905	2.1595
catalogue_weighted	family	phylum	SAR324	735	contamination_MAGICC_minus_CheckM2	-0.3886	-0.4981	15.1532	0.7294	0.1735	11.3678
catalogue_weighted	family	phylum	Spirochaetota	1554	completeness_MAGICC_minus_CheckM2	2.4983	1.9266	4.5060	2.8127	1.9957	4.5011
catalogue_weighted	family	phylum	Spirochaetota	1554	contamination_MAGICC_minus_CheckM2	-1.0898	-1.6510	-0.5225	-1.1147	-1.4797	0.9944
catalogue_weighted	family	phylum	Synergistota	205	completeness_MAGICC_minus_CheckM2	-0.2969	-9.8291	1.9957	-2.2249	-8.1177	1.9062
catalogue_weighted	family	phylum	Synergistota	205	contamination_MAGICC_minus_CheckM2	-0.3556	-0.6093	-0.1251	1.3387	-0.9382	6.5135
catalogue_weighted	family	phylum	Thermoplasmatota	2007	completeness_MAGICC_minus_CheckM2	-4.5634	-10.7347	3.3236	-4.6000	-11.4734	2.8669
catalogue_weighted	family	phylum	Thermoplasmatota	2007	contamination_MAGICC_minus_CheckM2	-0.2590	-0.5980	0.1155	0.1502	-0.7045	2.6308
catalogue_weighted	family	phylum	Thermoproteota	1774	completeness_MAGICC_minus_CheckM2	-6.7133	-11.8657	-4.3306	-7.6641	-11.4383	-4.6060
catalogue_weighted	family	phylum	Thermoproteota	1774	contamination_MAGICC_minus_CheckM2	0.0797	-0.2174	1.1503	3.7138	1.3276	6.2882
catalogue_weighted	family	phylum	Thermotogota	410	completeness_MAGICC_minus_CheckM2	-0.0635	-2.5146	0.5264	-1.7478	-3.3371	0.7831
catalogue_weighted	family	phylum	Thermotogota	410	contamination_MAGICC_minus_CheckM2	-0.2992	-0.7919	0.3870	0.3133	-0.5549	1.5193
catalogue_weighted	family	phylum	Verrucomicrobiota	3473	completeness_MAGICC_minus_CheckM2	-0.2723	-0.4948	4.3057	0.3828	-1.4198	3.8758
catalogue_weighted	family	phylum	Verrucomicrobiota	3473	contamination_MAGICC_minus_CheckM2	0.6222	-0.5450	0.8765	2.0226	1.0816	3.2132
catalogue_weighted	family	phylum	WOR-3	305	completeness_MAGICC_minus_CheckM2	-2.9594	-10.3969	1.2060	-5.6980	-10.4130	-1.5079
catalogue_weighted	family	phylum	WOR-3	305	contamination_MAGICC_minus_CheckM2	0.0049	-0.2000	1.9867	7.1417	1.8574	13.7988
catalogue_weighted	family	phylum	Zixibacteria	254	completeness_MAGICC_minus_CheckM2	1.8249	-0.2136	3.1858	1.6641	-0.1114	4.2980
catalogue_weighted	family	phylum	Zixibacteria	254	contamination_MAGICC_minus_CheckM2	-0.0016	-0.7549	0.5563	2.6092	0.4193	4.7048
catalogue_weighted	family	phylum	unclassified	441	completeness_MAGICC_minus_CheckM2	3.8349	3.8349	3.8349	9.0789	9.0789	9.0789
catalogue_weighted	family	phylum	unclassified	441	contamination_MAGICC_minus_CheckM2	-0.2966	-0.2966	-0.2966	6.2128	6.2128	6.2128
catalogue_weighted	family	phylum	other (<200 in cohort)	5294	completeness_MAGICC_minus_CheckM2	-0.2356	-2.9863	0.8124	-1.9168	-4.0321	-0.1253
catalogue_weighted	family	phylum	other (<200 in cohort)	5294	contamination_MAGICC_minus_CheckM2	0.0922	-0.1768	0.5108	3.8944	2.1834	5.5713
catalogue_weighted_no_nr_adjustment	family	overall	ALL	265943	completeness_MAGICC_minus_CheckM2	0.5142	-0.0301	1.0088	0.3608	-0.7056	1.0753
catalogue_weighted_no_nr_adjustment	family	overall	ALL	265943	contamination_MAGICC_minus_CheckM2	-0.6056	-0.7419	-0.4352	-0.6617	-0.9366	-0.2374
catalogue_weighted_no_nr_adjustment	family	size_bin	<1Mb	57652	completeness_MAGICC_minus_CheckM2	-5.0966	-6.3169	-4.0757	-7.2028	-8.3143	-6.1561
catalogue_weighted_no_nr_adjustment	family	size_bin	<1Mb	57652	contamination_MAGICC_minus_CheckM2	-0.0487	-0.1001	-0.0123	0.7988	0.4208	1.2221
catalogue_weighted_no_nr_adjustment	family	size_bin	1-2Mb	89416	completeness_MAGICC_minus_CheckM2	-0.1745	-0.7375	0.1416	-1.0341	-1.8980	-0.3897
