cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	1-2Mb	89416	cont5_disagreement_rate	0.0289013	0.0202221	0.0432133	0.000784249	0.0273642	0.0304384	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	floor_rate	0.00102363	0.000640415	0.00148828	0.000148472	0.00073263	0.00131463	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_d_comp	-1.0439	-1.91088	-0.435556	0.0396458	-1.12161	-0.966199	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_d_cont	-0.795594	-1.07758	-0.449114	0.0160023	-0.826958	-0.76423	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_comp_checkm2	74.7665	72.3294	77.417	0.0670177	74.6351	74.8978	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_comp_magicc	73.7226	71.4093	76.1028	0.0677864	73.5897	73.8554	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_cont_checkm2	1.5403	1.3409	1.73604	0.00873837	1.52318	1.55743	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	mean_cont_magicc	0.744708	0.560331	1.03466	0.0141613	0.716952	0.772464	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_HQ_to_HQ	0.105815	0.0717056	0.146882	0.00142637	0.103019	0.108611	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_HQ_to_MQ	0.0688259	0.0518799	0.0908966	0.00116881	0.066535	0.0711167	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_HQ_to_LQ	0.00627827	0.00350116	0.0110062	0.000354284	0.00558389	0.00697266	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_MQ_to_HQ	0.0507831	0.038075	0.0651399	0.00102518	0.0487737	0.0527924	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_MQ_to_MQ	0.758584	0.692174	0.816754	0.00198445	0.754694	0.762473	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_MQ_to_LQ	0.00967893	0.00671018	0.0146546	0.000439056	0.0088184	0.0105395	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_LQ_to_MQ	2.33752e-05	0	5.91369e-05	2.26527e-05	-2.10234e-05	6.77737e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	cell_LQ_to_LQ	1.16876e-05	0	4.33298e-05	1.6018e-05	-1.97071e-05	4.30823e-05	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	slope_d_comp_per_log10Mbp	20.734	14.7277	27.1847				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	1-2Mb	89416	slope_d_cont_per_log10Mbp	-3.69973	-5.4413	-1.81468				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	2-3Mb	78986	p_class_change	0.252362	0.220729	0.300765	0.00229897	0.247856	0.256868	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
