genome_id	status	bytes
spire_mag_00015658	ok	264812
spire_mag_00015672	ok	160673
spire_mag_00015708	ok	305997
spire_mag_00015701	ok	210603
spire_mag_00015702	ok	236546
spire_mag_00015719	ok	243317
spire_mag_00015720	ok	291671
spire_mag_00015714	ok	209070
spire_mag_00015769	ok	259076
spire_mag_00015781	ok	252943
spire_mag_00015744	ok	193500
spire_mag_00015746	ok	292988
spire_mag_00015725	ok	231461
spire_mag_00015792	ok	242179
spire_mag_00015784	ok	289940
spire_mag_00015798	ok	283091
spire_mag_00015811	ok	197401
spire_mag_00015818	ok	245592
spire_mag_00015879	ok	187578
spire_mag_00015856	ok	314329
spire_mag_00015902	ok	193321
spire_mag_00015929	ok	267392
spire_mag_00015898	ok	252727
spire_mag_00015960	ok	168102
spire_mag_00015892	ok	311344
spire_mag_00015939	ok	277863
spire_mag_00015943	ok	134932
spire_mag_00015925	ok	264370
spire_mag_00016018	ok	279760
spire_mag_00015975	ok	253389
spire_mag_00015982	ok	281109
spire_mag_00016054	ok	225567
spire_mag_00016064	ok	293445
spire_mag_00016066	ok	274651
spire_mag_00016074	ok	251826
spire_mag_00016076	ok	199578
spire_mag_00016070	ok	267468
spire_mag_00016079	ok	214475
spire_mag_00016101	ok	195935
spire_mag_00016077	ok	297836
spire_mag_00016082	ok	283255
spire_mag_00016131	ok	273208
spire_mag_00016180	ok	105708
spire_mag_00016168	ok	245136
spire_mag_00016158	ok	226508
spire_mag_00016178	ok	200882
spire_mag_00016170	ok	278811
spire_mag_00016224	ok	249793
spire_mag_00016245	ok	270833
spire_mag_00016281	ok	307780
spire_mag_00016271	ok	223259
spire_mag_00016264	ok	290801
spire_mag_00016306	ok	155951
spire_mag_00016293	ok	263953
spire_mag_00016302	ok	250314
spire_mag_00016309	ok	221995
spire_mag_00016289	ok	223004
spire_mag_00016316	ok	236380
spire_mag_00016354	ok	282576
spire_mag_00016376	ok	200311
spire_mag_00016385	ok	258595
spire_mag_00016381	ok	295626
spire_mag_00016383	ok	286684
spire_mag_00016447	ok	285064
spire_mag_00016451	ok	295496
spire_mag_00016476	ok	253560
spire_mag_00016461	ok	290458
spire_mag_00016474	ok	233299
spire_mag_00016531	ok	164871
spire_mag_00016480	ok	204951
spire_mag_00016494	ok	244132
spire_mag_00016495	ok	275092
spire_mag_00016545	ok	307275
spire_mag_00016539	ok	291151
spire_mag_00016549	ok	276277
spire_mag_00016554	ok	203442
spire_mag_00016596	ok	279324
spire_mag_00016608	ok	136541
spire_mag_00016610	ok	285049
spire_mag_00016631	ok	267011
spire_mag_00016637	ok	259056
spire_mag_00016666	ok	197581
spire_mag_00016648	ok	293010
spire_mag_00016702	ok	200333
spire_mag_00016671	ok	244346
spire_mag_00016668	ok	283312
spire_mag_00016705	ok	312756
spire_mag_00016713	ok	196957
spire_mag_00016688	ok	276880
spire_mag_00016674	ok	295329
spire_mag_00016707	ok	268195
spire_mag_00016732	ok	274885
spire_mag_00016738	ok	301845
spire_mag_00016806	ok	231940
spire_mag_00016792	ok	219096
spire_mag_00016843	ok	232217
spire_mag_00016856	ok	238886
spire_mag_00016861	ok	208785
spire_mag_00016943	ok	197963
spire_mag_00016868	ok	276840
spire_mag_00016884	ok	259873
spire_mag_00016900	ok	282846
spire_mag_00016929	ok	261391
spire_mag_00016983	ok	202926
spire_mag_00016963	ok	296460
spire_mag_00016955	ok	231424
spire_mag_00016962	ok	217047
spire_mag_00016988	ok	255706
spire_mag_00017019	ok	259755
spire_mag_00017021	ok	231986
spire_mag_00017057	ok	219072
spire_mag_00017076	ok	302253
spire_mag_00017141	ok	306070
spire_mag_00017155	ok	233070
spire_mag_00017180	ok	267279
spire_mag_00017267	ok	198828
spire_mag_00017200	ok	252110
spire_mag_00017207	ok	250834
spire_mag_00017287	ok	287417
spire_mag_00017216	ok	240890
spire_mag_00017261	ok	243607
spire_mag_00017294	ok	215412
spire_mag_00017235	ok	249324
spire_mag_00017349	ok	261630
spire_mag_00017308	ok	305289
spire_mag_00017353	ok	261871
spire_mag_00017369	ok	216324
spire_mag_00017379	ok	175234
spire_mag_00017370	ok	265284
spire_mag_00017387	ok	223841
spire_mag_00017384	ok	307562
spire_mag_00017483	ok	292337
spire_mag_00017447	ok	289558
spire_mag_00017448	ok	257572
spire_mag_00017429	ok	298356
spire_mag_00017413	ok	251542
spire_mag_00017452	ok	253792
spire_mag_00017414	ok	283574
spire_mag_00017487	ok	304107
spire_mag_00017485	ok	308584
spire_mag_00017493	ok	265021
spire_mag_00017506	ok	264272
spire_mag_00017524	ok	257054
spire_mag_00017526	ok	261921
spire_mag_00017539	ok	263091
spire_mag_00017542	ok	161828
spire_mag_00017554	ok	258495
spire_mag_00017543	ok	289349
spire_mag_00017578	ok	221888
spire_mag_00017593	ok	211227
spire_mag_00017590	ok	207861
spire_mag_00017589	ok	241093
spire_mag_00017599	ok	274912
spire_mag_00017608	ok	291816
spire_mag_00017587	ok	277683
spire_mag_00031641	ok	253993
spire_mag_00017616	ok	274567
spire_mag_00031664	ok	312678
spire_mag_00031670	ok	206247
spire_mag_00031683	ok	207695
spire_mag_00031699	ok	254414
spire_mag_00031703	ok	276050
spire_mag_00031757	ok	265727
spire_mag_00031723	ok	290109
spire_mag_00031880	ok	222802
spire_mag_00032086	ok	172175
spire_mag_00031892	ok	206724
spire_mag_00032066	ok	299980
spire_mag_00032140	ok	280158
spire_mag_00032258	ok	265130
spire_mag_00032362	ok	226922
spire_mag_00032359	ok	249178
spire_mag_00031902	ok	183878
spire_mag_00032490	ok	193110
spire_mag_00032493	ok	235649
spire_mag_00032389	ok	243719
spire_mag_00032722	ok	303556
spire_mag_00032795	ok	75023
spire_mag_00032734	ok	252047
spire_mag_00033215	ok	169068
spire_mag_00032969	ok	231655
spire_mag_00033305	ok	109123
spire_mag_00033218	ok	278906
spire_mag_00033345	ok	122840
spire_mag_00033309	ok	242641
spire_mag_00033330	ok	273277
spire_mag_00033383	ok	288976
spire_mag_00033394	ok	253868
spire_mag_00033545	ok	301942
spire_mag_00033595	ok	288295
spire_mag_00033677	ok	239913
spire_mag_00033640	ok	314803
spire_mag_00033881	ok	265429
spire_mag_00033910	ok	303728
spire_mag_00033911	ok	215925
spire_mag_00034073	ok	124548
spire_mag_00033972	ok	214238
spire_mag_00033977	ok	228953
spire_mag_00034009	ok	198241
spire_mag_00034066	ok	291703
spire_mag_00034113	ok	279044
spire_mag_00034109	ok	205747
spire_mag_00034123	ok	262240
spire_mag_00034136	ok	281584
spire_mag_00034122	ok	238716
spire_mag_00034141	ok	295366
spire_mag_00034203	ok	250223
spire_mag_00034167	ok	254818
spire_mag_00034327	ok	284678
spire_mag_00034469	ok	309517
spire_mag_00034410	ok	268090
spire_mag_00034653	ok	180490
spire_mag_00034619	ok	218680
spire_mag_00034738	ok	198759
spire_mag_00034810	ok	309152
spire_mag_00034809	ok	297983
spire_mag_00034811	ok	273282
spire_mag_00034989	ok	238427
spire_mag_00034872	ok	254582
spire_mag_00034991	ok	283924
spire_mag_00035165	ok	273606
spire_mag_00035057	ok	302701
spire_mag_00035180	ok	208622
spire_mag_00035317	ok	304494
spire_mag_00035369	ok	230966
spire_mag_00035357	ok	225896
spire_mag_00035360	ok	310940
spire_mag_00035844	ok	170594
spire_mag_00035618	ok	288936
spire_mag_00035399	ok	208920
spire_mag_00036060	ok	87778
spire_mag_00035974	ok	210837
spire_mag_00035672	ok	306271
spire_mag_00036002	ok	302223
spire_mag_00036003	ok	272399
spire_mag_00036139	ok	246830
spire_mag_00036206	ok	258042
spire_mag_00036212	ok	226312
spire_mag_00036221	ok	267235
spire_mag_00036280	ok	237254
spire_mag_00036319	ok	262233
spire_mag_00036409	ok	154768
spire_mag_00036312	ok	243429
spire_mag_00036354	ok	277683
spire_mag_00036412	ok	231643
spire_mag_00036419	ok	200375
spire_mag_00036456	ok	281600
spire_mag_00036593	ok	274858
spire_mag_00036557	ok	204351
spire_mag_00036521	ok	275682
spire_mag_00036677	ok	100854
spire_mag_00036725	ok	180553
spire_mag_00036667	ok	221481
spire_mag_00036803	ok	206022
spire_mag_00036879	ok	168130
spire_mag_00036875	ok	269797
spire_mag_00036898	ok	160474
spire_mag_00036894	ok	287723
spire_mag_00036936	ok	280287
spire_mag_00036941	ok	309590
spire_mag_00036953	ok	243453
spire_mag_00036971	ok	213553
spire_mag_00036977	ok	150601
spire_mag_00036979	ok	119510
spire_mag_00036982	ok	153063
spire_mag_00036978	ok	65418
spire_mag_00036988	ok	221256
spire_mag_00036976	ok	222018
spire_mag_00036989	ok	113712
spire_mag_00036987	ok	212573
spire_mag_00036990	ok	232028
spire_mag_00036992	ok	149995
spire_mag_00036995	ok	75103
spire_mag_00036994	ok	305057
spire_mag_00037012	ok	79138
spire_mag_00036996	ok	303771
spire_mag_00036997	ok	291314
spire_mag_00036998	ok	237774
spire_mag_00037028	ok	211304
spire_mag_00037032	ok	221161
spire_mag_00037023	ok	224274
spire_mag_00037025	ok	221069
spire_mag_00037022	ok	278618
spire_mag_00037030	ok	246174
spire_mag_00037039	ok	216951
spire_mag_00037046	ok	261761
spire_mag_00037047	ok	180597
spire_mag_00037048	ok	114056
spire_mag_00037058	ok	101942
spire_mag_00037052	ok	115980
spire_mag_00037059	ok	112483
spire_mag_00037067	ok	106228
spire_mag_00037063	ok	129108
spire_mag_00037062	ok	252537
spire_mag_00037069	ok	263266
spire_mag_00037074	ok	117080
spire_mag_00037077	ok	194467
spire_mag_00037090	ok	265143
spire_mag_00037086	ok	234138
spire_mag_00037097	ok	138201
spire_mag_00037110	ok	224977
spire_mag_00037101	ok	275544
spire_mag_00037116	ok	175828
spire_mag_00037113	ok	286832
spire_mag_00037119	ok	214685
spire_mag_00037129	ok	164588
spire_mag_00037137	ok	226169
spire_mag_00037141	ok	158147
spire_mag_00037140	ok	256233
spire_mag_00037142	ok	226887
spire_mag_00037143	ok	292045
spire_mag_00037155	ok	163749
spire_mag_00037149	ok	206729
spire_mag_00037165	ok	119107
spire_mag_00037161	ok	218884
spire_mag_00037169	ok	302291
spire_mag_00037171	ok	282421
spire_mag_00037170	ok	280801
spire_mag_00037172	ok	163840
spire_mag_00037173	ok	231891
spire_mag_00037177	ok	265759
spire_mag_00037181	ok	201509
spire_mag_00037184	ok	123697
spire_mag_00037182	ok	235057
spire_mag_00037188	ok	199548
spire_mag_00037190	ok	223447
spire_mag_00037212	ok	108158
spire_mag_00037216	ok	142698
spire_mag_00037195	ok	208065
spire_mag_00037213	ok	309968
spire_mag_00037218	ok	238369
spire_mag_00037234	ok	138845
spire_mag_00037237	ok	101620
spire_mag_00037235	ok	170209
spire_mag_00037242	ok	286829
spire_mag_00037248	ok	155238
spire_mag_00037243	ok	245688
