cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	size_bin	2-3Mb	418	mean_d_comp	-3.34808	-4.91598	-1.70017	1.06367	-5.43283	-1.26333	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	mean_d_cont	0.28149	-0.665956	1.28925	0.565982	-0.827815	1.3908	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	mean_comp_checkm2	83.0698	81.3261	84.643	1.22669	80.6655	85.4741	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	mean_comp_magicc	79.7217	77.9154	81.4417	1.20417	77.3616	82.0819	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	mean_cont_checkm2	2.5129	2.20895	2.84242	0.209508	2.10227	2.92353	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	mean_cont_magicc	2.79439	1.89193	3.81407	0.545992	1.72426	3.86451	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_HQ_to_HQ	0.140334	0.0902677	0.190207	0.0257821	0.0898018	0.190866	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_HQ_to_MQ	0.226002	0.168563	0.288215	0.031706	0.16386	0.288145	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_HQ_to_LQ	0.0350503	0.0111914	0.0655755	0.0134153	0.00875683	0.0613438	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_MQ_to_HQ	0.0839423	0.0535515	0.119153	0.0257796	0.0334153	0.134469	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_MQ_to_MQ	0.471878	0.409798	0.536165	0.0426865	0.388214	0.555542	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_MQ_to_LQ	0.0387107	0.0143737	0.0661089	0.017969	0.00349208	0.0739293	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_LQ_to_HQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_LQ_to_MQ	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	cell_LQ_to_LQ	0.00408244	0	0.013638	0.00553318	-0.00676239	0.0149273	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	slope_d_comp_per_log10Mbp	14.1758	-12.8015	43.1792				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	2-3Mb	418	slope_d_cont_per_log10Mbp	-7.22754	-26.6749	12.7979				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	p_class_change	0.447337	0.388231	0.504634	0.104599	0.242327	0.652347	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	p_downgrade	0.270566	0.221355	0.319006	0.0935912	0.0871311	0.454002	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	p_upgrade	0.17677	0.132751	0.224965	0.0796623	0.0206352	0.332906	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	p_HQ_checkm2	0.492648	0.434268	0.548097	0.105251	0.286361	0.698936	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	p_HQ_magicc	0.443616	0.38241	0.503831	0.104599	0.238605	0.648627	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
catalogue_weighted	family	size_bin	3-5Mb	464	HQ_downgrade_rate	0.458344	0.379414	0.539994	0.150519	0.163332	0.753356	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 1381 family clusters
