cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
S1_small_census	family	lineage_reduction	<-1 (>=2x reduced)	6388	contamination_MAGICC_minus_CheckM2	-0.1189	-0.2454	-0.0514	-0.0541	-0.4633	0.3921
S1_small_census	family	lineage_reduction	-1 to -0.5	3955	completeness_MAGICC_minus_CheckM2	-5.0478	-8.4613	-3.3671	-8.5336	-10.6741	-6.6371
S1_small_census	family	lineage_reduction	-1 to -0.5	3955	contamination_MAGICC_minus_CheckM2	-0.0890	-0.1512	-0.0253	0.3475	-0.0365	0.7936
S1_small_census	family	lineage_reduction	-0.5 to -0.25	1590	completeness_MAGICC_minus_CheckM2	-13.9832	-16.4948	-11.2299	-14.4232	-15.9857	-12.7260
S1_small_census	family	lineage_reduction	-0.5 to -0.25	1590	contamination_MAGICC_minus_CheckM2	0.1888	-0.0168	0.6754	1.2707	0.6123	2.0513
S1_small_census	family	lineage_reduction	-0.25 to +0.25 (typical)	3654	completeness_MAGICC_minus_CheckM2	-11.3746	-13.4533	-8.9806	-10.9923	-12.5009	-9.4040
S1_small_census	family	lineage_reduction	-0.25 to +0.25 (typical)	3654	contamination_MAGICC_minus_CheckM2	0.3760	0.1273	0.7712	2.6019	1.9374	3.4472
S1_small_census	family	lineage_reduction	>+0.25 (larger than lineage)	1614	completeness_MAGICC_minus_CheckM2	-3.6588	-5.5114	-1.4925	-5.3214	-6.9383	-3.7107
S1_small_census	family	lineage_reduction	>+0.25 (larger than lineage)	1614	contamination_MAGICC_minus_CheckM2	1.2931	0.7985	2.6323	5.1487	4.0408	6.3144
S1_small_census	family	phylum	Actinobacteriota	895	completeness_MAGICC_minus_CheckM2	-1.5630	-4.7480	-0.2786	-2.9669	-6.1843	-0.6686
S1_small_census	family	phylum	Actinobacteriota	895	contamination_MAGICC_minus_CheckM2	-0.9050	-2.1948	-0.0080	-0.3499	-2.5395	5.0937
S1_small_census	family	phylum	Bacteroidota	230	completeness_MAGICC_minus_CheckM2	-2.7131	-4.1220	-1.0007	-3.9973	-6.8781	-2.1672
S1_small_census	family	phylum	Bacteroidota	230	contamination_MAGICC_minus_CheckM2	-0.3139	-0.4781	-0.0765	-0.3426	-0.9015	0.2546
S1_small_census	family	phylum	Firmicutes	1859	completeness_MAGICC_minus_CheckM2	-4.1393	-10.6233	-1.3865	-7.3367	-11.1117	-2.8340
S1_small_census	family	phylum	Firmicutes	1859	contamination_MAGICC_minus_CheckM2	-0.0600	-0.1618	0.0447	0.3269	-0.2382	1.2488
S1_small_census	family	phylum	Firmicutes_A	2446	completeness_MAGICC_minus_CheckM2	-4.9086	-6.3271	-2.7904	-5.7768	-7.2007	-3.8921
S1_small_census	family	phylum	Firmicutes_A	2446	contamination_MAGICC_minus_CheckM2	-0.1065	-0.3023	-0.0363	-0.2864	-0.7389	0.0341
S1_small_census	family	phylum	Firmicutes_C	405	completeness_MAGICC_minus_CheckM2	-4.3779	-7.5773	-0.2074	-5.0338	-6.3896	-0.4778
