scope	size_bin	tool	tool_label	n	n_clusters	median_size_mbp	mae_completeness	mae_completeness_ci_lo	mae_completeness_ci_hi	bias_completeness	bias_completeness_ci_lo	bias_completeness_ci_hi	mae_contamination	mae_contamination_ci_lo	mae_contamination_ci_hi	bias_contamination	bias_contamination_ci_lo	bias_contamination_ci_hi	n_true_pass_cont5	n_false_fail_cont5	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi
set_C_clean	<1 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	740	74	0.8092915	6.600213724324325	5.552890372263514	7.721484840101351	-3.3421538486486484	-4.961911744425676	-1.622578050168919	9.327674534621622	8.358582092686486	10.244974213479054	-4.96442978272973	-6.639368679577027	-3.1822916363783804	41	16	0.3902439024390244	0.18362708719851586	0.5869884910485932
set_C_clean	<1 Mbp	checkm2	CheckM2 1.0.1	740	74	0.8092915	7.595163708108108	7.120197301554054	8.05710563277027	-4.620336408108108	-5.279820904662162	-3.911298506520271	40.055825510810806	38.06861411787162	41.93595398101352	-40.050260183783784	-41.93496371114865	-38.06332781625	41	0	0.0	0.0	0.0
set_C_clean	<1 Mbp	cocopye	CoCoPyE 0.5.0	740	74	0.8092915	18.144457413171963	17.22481083033463	19.009998485057576	-17.459266058253554	-18.400711033465868	-16.42823867439941	32.322859776040225	30.380526797516467	34.10823171887082	-31.502388088519076	-33.35075837637284	-29.48026076593554	41	26	0.6341463414634146	0.4827586206896552	0.775069444444444
set_C_clean	<1 Mbp	deepcheck	DeepCheck	740	74	0.8092915	18.641665321061748	17.48518340692409	19.70735165093627	-17.988064506590806	-19.17670384749242	-16.735907457566068	42.079574182252294	40.05415765798358	43.9836854884381	-42.076992026394265	-43.981370281604235	-40.051108479101636	41	0	0.0	0.0	0.0
set_C_clean	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	260	26	1.1195545	7.451690411538462	5.369674001826923	9.80015464182692	0.5904597423076932	-2.7625886518269205	3.4698519680769238	8.375426869230768	6.286399708182692	11.022256440942304	0.46182278076923045	-1.8037902661923062	3.0327891602211525	11	7	0.6363636363636364	0.2998529411764708	0.9166666666666666
set_C_clean	1-2 Mbp	checkm2	CheckM2 1.0.1	260	26	1.1195545	8.041360776923078	7.458269430961539	8.679758150673077	-3.024272807692308	-4.298129665192308	-1.813776276346154	38.37108470384616	36.01518963721154	40.750121257019224	-38.334660757692305	-40.718363681442305	-35.97184884826923	11	0	0.0	0.0	0.0
set_C_clean	1-2 Mbp	cocopye	CoCoPyE 0.5.0	260	26	1.1195545	16.738784508094778	15.140269500040263	18.383499623588765	-15.089051763849742	-16.866874299690075	-13.248800459863183	31.44283036415117	29.039954757856883	33.95658306731547	-30.6917855143387	-33.225037310568254	-28.29338786590821	11	9	0.8181818181818182	0.5454545454545454	1.0
set_C_clean	1-2 Mbp	deepcheck	DeepCheck	260	26	1.1195545	15.448900803286511	13.825763980638172	17.090646121881946	-14.40567841447566	-16.12346404625439	-12.620354464131045	40.4977829123729	37.977428614422344	42.9897543103356	-40.4977829123729	-42.9897543103356	-37.977428614422344	11	0	0.0	0.0	0.0
set_D_clean	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	470	47	1.712501	5.846061291489362	4.706249237606382	7.219405633723404	-1.676142989361702	-3.536000118031915	0.018787544627658418	7.4667813939787235	6.645100520290425	8.402545959668618	-4.75658436525532	-6.108194600905319	-3.3496482099856384	24	3	0.125	0.0	0.28
set_D_clean	1-2 Mbp	checkm2	CheckM2 1.0.1	470	47	1.712501	7.125858325531915	6.406318654095744	7.853915099255318	4.945393210638298	3.7800740972340416	6.023570642606382	38.152976906382975	36.40505824797872	39.86858988074468	-38.142420493617024	-39.85414372191489	-36.39239726122341	24	0	0.0	0.0	0.0
