set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	100	True	660.7142278823452	False	9.08009014162	8.19582844599425	10.07153977537125	-3.55360411622	-5.03110218387975	-2.0329121765232507	12.317444616864291	11.053124494152875	13.727056661071908	0.7703705543381516	0.7149563337158631	0.8136623756852776	0.7915863344644148	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	contamination	1000	100	True	660.7142278823452	False	39.617792901	38.149396962275	41.175082006275	-39.604204333	-41.16388291295	-38.1399408018	45.94736437807602	44.574069629761766	47.45183452611684	-2.195269912770257	-2.4238322887590606	-1.9957317094827496	0.3207042206832257	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	100	True	660.7142278823452	False	32.09405212894907	30.64025697101917	33.62852374826412	-31.29163141923218	-32.904016913285204	-29.77229773645434	38.99237565538663	37.57204350156563	40.41586310322185	-1.3011542586631415	-1.4748803873116851	-1.1480329173841466	0.2047303494619996	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	all	deepcheck	DeepCheck	competitor	contamination	1000	100	True	660.7142278823452	False	41.66830845208366	40.17117481714617	43.2807110799241	-41.66639765674872	-43.28037234306301	-40.16996895396332	48.06265775479215	46.65265579140081	49.614014343901125	-2.4962453856308238	-2.748732115258642	-2.276388585045537	0.2369301853938466	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	100	True	263.0906373819784	False	6.821597663	5.81525950615	7.893503357624999	-2.3196743150000003	-3.89561623075	-0.8257637436500016	10.12152013988582	8.772423824533151	11.49222096870287	0.6106088344247111	0.4874263748869802	0.7136103026197453	0.6564092274525658	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	completeness	1000	100	True	263.0906373819784	False	7.711174946	7.33389367115	8.100227407875	-4.205359872	-4.851181920625001	-3.5743099623000005	9.554544707093887	9.129532790173494	9.982487503927462	0.6530118841617543	0.6191705186448521	0.6829584581385254	0.7262738463975855	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	100	True	263.0906373819784	False	17.778982457851896	16.975670177442108	18.54557902311577	-16.843010341708563	-17.690590446804915	-15.956658438267157	20.44003988538765	19.60683603620636	21.16006143296012	-0.5880277408338399	-0.7351036018290581	-0.4546218588157629	0.4933803657123725	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	competitor	completeness	1000	100	True	263.0906373819784	False	17.811546546440187	16.816743298241455	18.735674472597765	-17.056644122640872	-18.10917240629117	-15.973631192392718	20.31500357864678	19.38480343567671	21.1967859815596	-0.5686585220485736	-0.7458128473696012	-0.4053213223696304	0.5611895168724091	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	100	True	660.7142278823452	False	9.08009014162	8.180946920817501	10.065925417116748	-3.55360411622	-5.120413132367	-2.010224283829251	12.317444616864291	11.030008697973356	13.710459581479109	0.7703705543381516	0.7135821185640745	0.8154985112316744	0.7915863344644148	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	contamination	1000	100	True	660.7142278823452	False	39.617792901	38.0494354666	41.151292259275	-39.604204333	-41.139577266675005	-38.0334638141	45.94736437807602	44.45323919069972	47.41998206847872	-2.195269912770257	-2.418581722367976	-1.992326827994683	0.3207042206832257	
