source	quantity	set	tool	metric	published	recomputed	recomputed_ci_lo	recomputed_ci_hi	difference	agrees_within_tolerance	published_inside_recomputed_ci	note	recomputed_pearson_r2
progress_v5	MAE	set_D	magicc_v5	completeness	5.18	5.1759362701545975	4.772119333618833	5.596064651991617	-0.004063729845402264	True	True		
progress_v5	MAE	set_D	magicc_v5	contamination	8.06	8.058032512078764	7.44201446983097	8.688514471969317	-0.001967487921236355	True	True		
progress_v5	MAE	set_E	magicc_v5	completeness	5.49	5.485888223766055	5.0367441372509445	5.950119756012367	-0.004111776233945541	True	True		
progress_v5	MAE	set_E	magicc_v5	contamination	5.66	5.657874715238257	5.192880971229834	6.146184773430357	-0.002125284761743451	True	True		
progress_v5	MAE	POOLED_manuscript_5_sets	magicc_v5	completeness	3.79	3.792954729633448	3.630283489212874	3.9552097113717344	0.0029547296334477835	True	True		
progress_v5	MAE	POOLED_manuscript_5_sets	magicc_v5	contamination	5.39	5.39440220467942	5.175124771540316	5.6166709138849535	0.0044022046794207625	True	True		
S2a	R2	set_A_v2	magicc_v4	completeness	0.92	0.924843242438245	0.9005742155665559	0.9441474823389728	0.004843242438244966	True			0.925951506879619
S2a	R2	set_C	magicc_v4	completeness	0.89	0.8863436683400807	0.8649970471339246	0.9058456320309242	-0.0036563316599192985	True			0.891756515474674
S2a	R2	set_D	magicc_v4	completeness	0.71	0.7062606065105033	0.6489912413830945	0.7570505646241932	-0.0037393934894967007	True			0.7211230989520274
S2a	R2	set_E	magicc_v4	completeness	0.69	0.6941304568009974	0.6479045390830909	0.7383655625503072	0.00413045680099744	True			0.704327752848486
S2b	R2	set_B_v2	magicc_v4	contamination	0.92	0.9231966242752576	0.9067870205912648	0.9385108024225474	0.0031966242752575758	True			0.9276074728380336
S2b	R2	set_C	magicc_v4	contamination	0.86	0.8615314325333671	0.8421421740776927	0.8791598158549134	0.001531432533367072	True			0.9249449462819438
S2b	R2	set_D	magicc_v4	contamination	0.82	0.819010626474047	0.790403370597106	0.8443869923032361	-0.0009893735259529635	True			0.8674722898610595
S2b	R2	set_E	magicc_v4	contamination	0.91	0.9113331792566404	0.8962809026634401	0.9244579098859012	0.0013331792566403378	True			0.9184873012123952
S2c	R2	POOLED_manuscript_5_sets	magicc_v4	completeness	0.83	0.8329757961031748	0.8175279530785162	0.8476363072437618	0.002975796103174888	True			0.8333543357523202
S2c	R2	POOLED_manuscript_5_sets	magicc_v4	contamination	0.91	0.914172209626702	0.9074283858006528	0.9207909958055468	0.00417220962670195	True			0.9241791371936052
S2c	R2	POOLED_manuscript_5_sets	checkm2	completeness	0.67	0.6367457103925633	0.6117345173772166	0.659778119975473	-0.033254289607436704	False		published value matches the SQUARED PEARSON CORRELATION r^2, not the coefficient of determination R^2 - metric mix-up	0.6671674391755148
S2c	R2	POOLED_manuscript_5_sets	checkm2	contamination	0.34	-0.1358725220475487	-0.1784886732731808	-0.0931489665541536	-0.4758725220475487	False		published value matches the SQUARED PEARSON CORRELATION r^2, not the coefficient of determination R^2 - metric mix-up	0.3372984320239353
S2c	R2	POOLED_manuscript_5_sets	cocopye	completeness	0.65	0.5285561038582232	0.4980594421803906	0.5591474014400201	-0.12144389614177686	False			0.6106861732976092
S2c	R2	POOLED_manuscript_5_sets	cocopye	contamination	0.65	0.2915342432391969	0.2587340228293926	0.3250130286414527	-0.3584657567608031	False			0.4703550187317704
S2c	R2	POOLED_manuscript_5_sets	deepcheck	completeness	0.48	0.2694301636907166	0.2297657054915027	0.3069341314455472	-0.2105698363092834	False		published value matches the SQUARED PEARSON CORRELATION r^2, not the coefficient of determination R^2 - metric mix-up	0.4791293364631486
S2c	R2	POOLED_manuscript_5_sets	deepcheck	contamination	0.18	-0.5075563131362193	-0.5681960789073031	-0.4448431039794377	-0.6875563131362192	False		published value matches the SQUARED PEARSON CORRELATION r^2, not the coefficient of determination R^2 - metric mix-up	0.1842542781987913
