scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
set_D_clean	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.19600757862286639	0.12651078476039893	0.25849508814331024	0.0009995002498750624
set_D_clean	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	1000	100	-0.024091972848733843	-0.13951799922042696	0.08129396921418361	0.6916541729135433
set_D_clean	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.3180331949809201	0.21342304678434149	0.40778471750696527	0.0009995002498750624
set_D_clean	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.2143268637692108	-0.2813090931857979	-0.1417152672442965	0.0009995002498750624
set_D_clean	cocopye	CoCoPyE 0.5.0	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.24970441037865873	0.16924778496631396	0.32427202594236554	0.0009995002498750624
set_D_clean	deepcheck	DeepCheck	completeness	abs	log10_dominant_genome_size_mbp	1000	100	0.18237092995540125	0.07918386328253704	0.27137142887929416	0.004997501249375313
set_D_clean	deepcheck	DeepCheck	completeness	signed	log10_dominant_genome_size_mbp	1000	100	0.4099446627077256	0.3264463384278387	0.4829970395821034	0.0009995002498750624
set_D_clean	deepcheck	DeepCheck	contamination	abs	log10_dominant_genome_size_mbp	1000	100	-0.12720246388027276	-0.1885396628647756	-0.06302967654820392	0.0009995002498750624
set_D_clean	deepcheck	DeepCheck	contamination	signed	log10_dominant_genome_size_mbp	1000	100	0.12842772575749875	0.06451804802389584	0.1893416344790473	0.0009995002498750624
set_E	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.13159986774900315	0.07038128635210329	0.19607000498616167	0.0009995002498750624
set_E	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	signed	log10_dominant_genome_size_mbp	1000	785	0.0701402728477058	0.006376297254620008	0.13272479966636613	0.030984507746126936
set_E	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	abs	log10_dominant_genome_size_mbp	1000	785	-0.05611219024644957	-0.11489826636166972	0.005682692821244777	0.06896551724137931
set_E	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	signed	log10_dominant_genome_size_mbp	1000	785	0.09204679036612629	0.030664685776494414	0.15236554501531277	0.001999000499750125
set_E	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	completeness	abs	log10_dominant_genome_size_mbp	1000	785	0.1603040084403429	0.09752618467064561	0.22316194334847891	0.0009995002498750624
