set	set_label	status	tier	subset	tool	criterion	tau	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	contamination	5.0	1000	1000	60	940	637	0	0.6776595744680851	0.6481831577159566	0.7082463241067142	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	contamination	10.0	1000	1000	117	883	831	0	0.9411098527746319	0.9260512481060317	0.9557827827263502	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	completeness	50.0	1000	1000	1000	0	0	143				0.143	0.122	0.164
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	completeness	90.0	1000	1000	461	539	2	415	0.0037105751391465678	0.0	0.009433962264150943	0.9002169197396963	0.8734652322467449	0.9265724595690881
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	contamination	5.0	859	859	60	799	25	4	0.03128911138923655	0.020151133501259445	0.04369538077403246	0.06666666666666667	0.014492753623188406	0.13725490196078433
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	contamination	10.0	859	859	117	742	24	4	0.03234501347708895	0.02026958638800744	0.04607359049133968	0.03418803418803419	0.008062903225806455	0.07017543859649122
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	completeness	50.0	859	859	859	0	0	0				0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	completeness	90.0	859	859	458	401	25	11	0.06234413965087282	0.040501227561138935	0.08780690574126643	0.024017467248908297	0.010893246187363835	0.03872609182310894
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	contamination	5.0	859	859	60	799	20	5	0.025031289111389236	0.015056461731493099	0.03661731889054897	0.08333333333333333	0.019598416289592777	0.16130218216318779
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	contamination	10.0	859	859	117	742	20	5	0.026954177897574125	0.0160857908847185	0.040268456375838924	0.042735042735042736	0.00909090909090909	0.0818219076005961
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	completeness	50.0	859	859	859	0	0	0				0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	completeness	90.0	859	859	458	401	27	11	0.06733167082294264	0.04511055482307665	0.09279104518534763	0.024017467248908297	0.01084423386191937	0.03888110643122517
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v3	contamination	5.0	859	859	60	799	13	7	0.016270337922403004	0.008695382457654548	0.025613746214286696	0.11666666666666667	0.04	0.2
